,X,Y,Z,formation
0,28.206539806358606,29.553739506998745,-15.0,Diatreme
1,34.1290725603085,32.65952509819936,-41.26262626262626,Diatreme
2,31.716914969864746,30.512275688044117,-27.12121212121212,Diatreme
3,36.57574638822013,33.82485681855681,-53.38383838383838,Diatreme
4,35.631279250446745,31.48710865533759,-39.24242424242424,Diatreme
5,35.56490943540561,27.785797388754126,-25.1010101010101,Diatreme
6,38.86194891795998,32.54703393330908,-51.36363636363636,Diatreme
7,37.879574301586416,28.991212177076886,-37.22222222222222,Diatreme
8,37.152708046835414,24.13584812876788,-23.080808080808083,Diatreme
9,39.97934094569793,31.26172247797843,-49.343434343434346,Diatreme
10,40.09002346979096,27.784559103522902,-35.2020202020202,Diatreme
11,40.98188970532801,22.852324019262984,-21.060606060606062,Diatreme
12,41.69978717595892,28.802709304486104,-47.323232323232325,Diatreme
13,42.85245415343509,26.304969269368573,-33.18181818181818,Diatreme
14,44.001396571680665,22.448781401369068,-19.04040404040404,Diatreme
15,46.13534741347113,27.987323650728804,-45.3030303030303,Diatreme
16,46.030593816261614,24.2227589450507,-31.161616161616163,Diatreme
17,46.673423118193455,20.964558318284965,-17.02020202020202,Diatreme
18,48.56002526012578,28.15382466257623,-43.282828282828284,Diatreme
19,49.456418390622765,23.704613563701347,-29.141414141414142,Diatreme
20,50.71780037566163,20.528936934706298,-15.0,Diatreme
21,50.38425102075338,26.098751234470853,-41.26262626262626,Diatreme
22,52.11074633312577,23.775436272094243,-27.12121212121212,Diatreme
23,52.05519635377034,29.865267969893832,-53.38383838383838,Diatreme
24,53.17438411325268,26.551243738176407,-39.24242424242424,Diatreme
25,56.346760007420535,22.763826341228878,-25.1010101010101,Diatreme
26,55.57090955107454,29.0358336525514,-51.36363636363636,Diatreme
27,56.220473856644894,26.664662441341605,-37.22222222222222,Diatreme
28,59.62947757177196,23.380276405930694,-23.080808080808083,Diatreme
29,58.10242096303729,29.67293785587778,-49.343434343434346,Diatreme
30,60.34174111641432,27.27016895197181,-35.2020202020202,Diatreme
31,64.03476950120833,24.789505709559343,-21.060606060606062,Diatreme
32,59.96199275669973,30.053568571907856,-47.323232323232325,Diatreme
33,62.70374852405973,28.1135396447712,-33.18181818181818,Diatreme
34,65.91934675444105,25.515721514074855,-19.04040404040404,Diatreme
35,63.84351878533978,31.041079291215567,-45.3030303030303,Diatreme
36,66.92758613887007,29.151168184213002,-31.161616161616163,Diatreme
37,68.8473305569123,28.11258697897246,-17.02020202020202,Diatreme
38,65.91039501056859,33.53709829155125,-43.282828282828284,Diatreme
39,68.41855323844959,31.38288941297718,-29.141414141414142,Diatreme
40,72.35271435329813,30.980415366301898,-15.0,Diatreme
41,67.74393428477387,34.442011728244644,-41.26262626262626,Diatreme
42,71.30166184593942,33.38836760444191,-27.12121212121212,Diatreme
43,65.4856093824581,37.041682906184306,-53.38383838383838,Diatreme
44,69.0390306888456,37.62311820391147,-39.24242424242424,Diatreme
45,72.94360033891546,36.38441135271085,-25.1010101010101,Diatreme
46,68.2381858855989,40.18555234508167,-51.36363636363636,Diatreme
47,71.82359350474246,39.825230735896454,-37.22222222222222,Diatreme
48,75.27798001932021,39.68817939541278,-23.080808080808083,Diatreme
49,69.58078172606123,41.96586556116152,-49.343434343434346,Diatreme
50,72.94484210429819,42.26371711244252,-35.2020202020202,Diatreme
51,77.8848492919044,42.6256284284605,-21.060606060606062,Diatreme
52,70.87294416882892,43.4302588230062,-47.323232323232325,Diatreme
53,74.0051881444597,44.60747080558534,-33.18181818181818,Diatreme
54,78.09190216720108,47.02035021489186,-19.04040404040404,Diatreme
55,71.49083438444706,47.65410521485022,-45.3030303030303,Diatreme
56,76.69887181616161,47.98084880684189,-31.161616161616163,Diatreme
57,79.65284343560704,49.22093072097136,-17.02020202020202,Diatreme
58,73.52422954406268,49.95987408861417,-43.282828282828284,Diatreme
59,77.27605965526496,51.59853827553634,-29.141414141414142,Diatreme
60,80.36048054778041,54.20638018706859,-15.0,Diatreme
61,72.29273929505747,53.20705908579832,-41.26262626262626,Diatreme
62,77.03883671600619,54.249624374256705,-27.12121212121212,Diatreme
63,70.86070467600479,54.467857763349805,-53.38383838383838,Diatreme
64,73.8978894827719,55.89364786825721,-39.24242424242424,Diatreme
65,77.11414986040049,58.856541626050415,-25.1010101010101,Diatreme
66,70.19806113789052,56.05641468741859,-51.36363636363636,Diatreme
67,72.85678032259267,58.58720855557583,-37.22222222222222,Diatreme
68,75.58232749941007,61.13440990910894,-23.080808080808083,Diatreme
69,70.01445460669562,59.14954827877273,-49.343434343434346,Diatreme
70,72.7654394332616,62.66646041871336,-35.2020202020202,Diatreme
71,73.13214210394317,65.93584220568154,-21.060606060606062,Diatreme
72,69.2607845763668,61.63967986942361,-47.323232323232325,Diatreme
73,69.9964021128234,64.68329546274552,-33.18181818181818,Diatreme
74,71.78011730772883,69.2947947957618,-19.04040404040404,Diatreme
75,67.06836197507573,65.18043601145736,-45.3030303030303,Diatreme
76,69.01918527936166,67.09168076564481,-31.161616161616163,Diatreme
77,69.85408070251,72.18205045646162,-17.02020202020202,Diatreme
78,66.48713724633363,65.84088554339372,-43.282828282828284,Diatreme
79,66.66498060466591,70.0662244412786,-29.141414141414142,Diatreme
80,67.29080115736718,74.12625988593592,-15.0,Diatreme
81,63.97968993151384,69.07063845033846,-41.26262626262626,Diatreme
82,63.49568414479465,72.49943243661417,-27.12121212121212,Diatreme
83,61.276349261016556,66.76227272613255,-53.38383838383838,Diatreme
84,61.48226705658854,70.37464606111266,-39.24242424242424,Diatreme
85,61.281214717062596,73.90989035201291,-25.1010101010101,Diatreme
86,59.13335509818015,69.7658471715186,-51.36363636363636,Diatreme
87,58.99956386673028,72.94365676558844,-37.22222222222222,Diatreme
88,58.079940826165526,77.42771535984251,-23.080808080808083,Diatreme
89,55.61654682938018,70.17032403026023,-49.343434343434346,Diatreme
90,55.865410546645975,75.05943398102625,-35.2020202020202,Diatreme
91,55.30858791846478,77.92570816077051,-21.060606060606062,Diatreme
92,53.06809412317161,70.9982089465159,-47.323232323232325,Diatreme
93,52.87026460418765,75.05450826202981,-33.18181818181818,Diatreme
94,51.28298528155579,79.81953598906505,-19.04040404040404,Diatreme
95,51.457582622654016,71.63159109594659,-45.3030303030303,Diatreme
96,49.054326247951536,76.09375253551937,-31.161616161616163,Diatreme
97,47.44100762870972,79.31367898975175,-17.02020202020202,Diatreme
98,47.882090590058596,71.96029832891337,-43.282828282828284,Diatreme
99,46.05955127328752,76.56859056269262,-29.141414141414142,Diatreme
100,43.3905085234093,79.28902992634536,-15.0,Diatreme
